name,characters_prompt,clothes_prompt
七海限定游戏,"nana7mi limited, brown hair, long hair, multicolored hair, very long hair, ponytail, brown eyes, yellow eyes, gradient hair, bangs, tail, hair ornament, hair ribbon,","nana7mi limited, skirt, gloves, boots, headphones, navel, breasts, single thighhigh, headphones around neck, midriff, bare shoulders, black skirt, black footwear, miniskirt, detached sleeves, pouch, see-through, crop top, pleated skirt, black gloves, single detached sleeve, see-through sleeves, belt pouch, stomach, blue nails, medium breasts, cross-laced footwear, black thighhighs, ribbon, thigh strap, single sleeve, lace-up boots, belt, bow, single glove, nail polish"
七海光头,"nana7mi shark, brown eyes, teeth, bald girl, bald, no_hair","nana7mi shark, headphones around neck, headphones, hood, hoodie, button badge, white shirt, collared shirt, grey hoodie, badge"
瑞娅原皮,"rhea default, pointy ears, long hair, purple eyes, bangs, white hair, braid, hat, mini top hat, mini hat, ","dress, white footwear, short sleeves, white dress, puffy sleeves, tilted headwear, cleavage, black headwear, puffy short sleeves, shoes, white pantyhose, jewelry, white thighhighs, "
瑞娅夏装,"rhea summer, pink headwear, pointy ears, long hair, purple eyes, bangs, white hair, pink bow, earrings, black bow, choker, black hair, hat, ribbon, bow, halterneck, jewelry, black bow, ","criss-cross halter, short sleeves, cleavage, bridal garter, puffy short sleeves, white dress, blue dress, halter dress, shoes, wrist cuffs, black footwear, thigh strap, hat bow, pink ribbon, gradient dress, collarbone, heart, hair ornament, "
瑞娅国风,"rhea chic, pointy ears, purple eyes, white hair, hair ornament, hair bun, bangs, elf, single hair bun, tassel, ","white socks, kneehighs, green dress, green footwear, collarbone, medium breasts, shoes, skirt, bare shoulders, "
瑞娅国风2,"rhea chic, pointy ears, purple eyes, white hair, long hair, open mouth, hair bun, bangs, hair ornament, earrings, jewelry, tassel, gloves, ","white china dress, white socks, kneehighs, chinese clothes, fingerless gloves, cleavage cutout, fur scarf, fur trim, bare shoulders, clothing cutout, "
瑞娅学院马尾,"rhea priness, purple eyes, pointy ears, long hair, ponytail, white hair, jewelry, ","black dress, earrings, thighhighs, garter straps, black footwear, cleavage,"
瑞娅学院双尾,"rhea priness, red eyes, pointy ears, twintails, long hair, white hair, ahoge, bangs, bow, black bow, bridal gauntlets, hair bow, jewelry, earrings, cross earrings, ","black dress, short dress, thighhighs, black thighhighs, cleavage, garter straps, long sleeves, puffy sleeves, zettai ryouiki, cross, cleavage cutout, clothing cutout, "
瑞娅学院长发,"rhea priness, pointy ears, purple eyes, long hair, white hair, ahoge, glasses, braid, crown, jewelry, earrings, bridal gauntlets, ","black dress, thighhighs, black thighhighs, cleavage, garter straps, "
瑞娅蔷薇裙子,"rhea rose, pointy ears, white hair, braid, short hair, earrings, jewelry, ","black pantyhose, pantyhose, blindfold, skirt, frills, long sleeves, shirt, black skirt, dress, white shirt, "
瑞娅蔷薇紧身,"rhea rose, white hair, short hair, pointy ears, horns, braid, covered eyes, black blindfold, black nails, ","pantyhose, leotard, torn clothes, thighhighs, boots, black pantyhose, black footwear, thigh boots, thigh strap, bare shoulders, covered navel, "
瑞娅蔷薇3,"rhea rose, red eyes, pointy ears, short hair, bangs, hair over one eye, hat, black headwear, white hair, jewelry, hair ornament, red nails, earrings, ","black footwear, long sleeves, dress, thighhighs, "
瑞娅蔷薇4,"rhea rose, horns, pointy ears, white hair, red eyes, short hair, bangs, jewelry, earrings, hair ornament, hairclip, ","black footwear, long sleeves, dress, thighhighs, "
悠亚原皮,"yua default, blue eyes, ahoge, bow, gradient hair, bangs, grey hair, hairclip, choker, halterneck, hair ornament, medium hair, two side up, bandages, blue hair, ","capelet, black dress, dress, socks, black footwear, thigh strap, shoes, criss-cross halter, frills, "
悠亚女仆蓝,"yua maid, skirt, bandages, two side up, blue eyes, nail polish, grey hair, short hair, colored inner hair, ahoge, bandaged leg, bandaid, bandaged arm, hair over one eye, blue hair, multicolored hair, hair ornament, blue nails, ","midriff, panty straps, navel, white thighhighs, crop top, cleavage cutout, braid, clothing cutout, grey skirt, shirt, short sleeves, thighhighs, "
悠亚女仆白,"yua maid, maid headdress, skirt, bandages, two side up, blue eyes, nail polish, grey hair, short hair, colored inner hair, ahoge, bandaged leg, bandaid, bandaged arm, hair over one eye, blue hair, multicolored hair, hair ornament, blue nails, ","apron, bandaid, white thighhighs, braid, dress, short sleeves, two side up, thigh strap, white apron, maid, "
悠亚水手服,"yua sailor, ribbon, ponytail, hair ornament, white hair, hairclip, jewelry, short hair, blue hair, glasses, round eyewear, blue eyes, choker, grey hair,","serafuku, blue neckerchief, bandaid on leg, white shirt, shirt, socks, white skirt, kneehighs, school uniform, pleated skirt, thigh strap, short sleeves, shoes, white serafuku, black socks, white footwear, uwabaki, bandaid on knee, bandaid on arm, neckerchief, white sailor collar, "
悠亚毛衣,"yua sailor, hat, white headwear, grey hair, beret, long hair, colored inner hair, hairclip, black choker, choker, ahoge, hair ornament, blue hair, blue eyes,","pleated skirt, sailor collar, white footwear, socks, long sleeves, cardigan, shoes, black socks, thigh strap, school uniform, bandaid on knee, blue cardigan, sweater, sleeves past wrists, kneehighs, neckerchief, blue neckerchief, blue sweater, serafuku, white sailor collar, "
悠亚修女,"yua nun, halo, blue eyes, hair ornament, grey hair,twintails, ahoge, angel wings, jewelry, white gloves, cross, two side up, wings, blue hair, earrings, wing hair ornament,(veil, white flower, flower, nun, )","detached sleeves, black footwear, bangs, dress, bare shoulders, wide sleeves, pantyhose, white wings, white pantyhose, "
悠亚色魔,"yua succubus, pink eyes,heart-shaped pupils, hair ornament, grey hair,horns, low twintails, ahoge, demon wings, jewelry, white gloves, cross, two side up, wings, blue hair, earrings, wing hair ornament,","heart-shaped pupils, demon wings, toeless legwear, navel, thighhighs, bridal legwear, detached sleeves, white thighhighs, long sleeves, see-through, bare shoulders, puffy sleeves, frills, tail, white leotard, leotard, ass visible through thighs, braid, stirrup legwear, navel cutout, skindentation, puffy long sleeves, "
雨纪原皮,"ameki default,long hair,blue hair,yellow eyes,blue eyes,heterochromia,multicolored hair,jewelry,ahoge,flower,hair flower,mole under eye,halterneck,earrings,butterfly hair ornament,","thighhighs,single thighhigh,white footwear,white dress,detached sleeves,bare shoulders,"
